CodDep;App;SGBD;LP;Rendimiento;ExpUs;Latencia
IDI06;850;MySQL;Swift;30;5;528
IDI04;145;PostgreSQL;Java;69;7;1077
IDI05;288;SQLite;C;83;10;828
IDI06;263;Firebird;Kotlin ;89;10;441
IDI06;602;MySQL;C++;29;7;602
IDI02;600;SQLite;C;70;8;558
IDI02;525;DB2;Go;62;7;814
IDI04;85;DB2;Java;79;6;926
IDI01;884;SQL Server;Ruby;66;10;150
IDI06;55;Firebird;PHP;70;4;675
IDI02;604;SQL Server;Python;30;4;638
IDI03;609;PostgreSQL;Go;97;6;759
IDI03;236;SQL Server;Ruby;98;5;340
IDI03;190;MariaDB;Swift;96;10;398
IDI01;457;PostgreSQL;Java;38;4;360
IDI01;416;SQLite;Ruby;43;2;291
IDI01;5;DB2;JavaScript;28;2;179
IDI06;486;MariaDB;Visual Basic;65;3;775
IDI06;250;MySQL;Swift;72;1;587
IDI03;680;SQLite;Ruby;99;3;237
IDI01;591;Firebird;C#;17;2;388
IDI05;143;Firebird;Kotlin ;71;5;1044
IDI04;179;Oracle;Kotlin ;84;10;517
IDI02;786;MySQL;Visual Basic;69;9;733
IDI05;49;PostgreSQL;Java;55;6;631
IDI04;280;SQLite;Python;14;8;750
IDI05;412;SQL Server;Python;43;4;322
IDI04;455;Firebird;Kotlin ;86;4;330
IDI05;489;PostgreSQL;Go;41;2;757
IDI02;232;SQLite;Python;36;10;232
